"cnpj","dataReferencia","codigoCVM","codigoCVM2","codigoCVMsemDigito","dataConstituicao","nomeEmpresarial","especieControleAcionario","mesEncerraExercSocial","setorCVM","descricaoAtividade"
"33.050.071/0001-58",2023-01-01,3050,"03050","305","1909-06-03","AMPLA ENERGIA E SERVICOS S.A.","Estrangeiro",12,"Energia Elétrica","Distribuição de energia elétrica"
"82.981.929/0001-03",2022-01-01,3549,"03549","354","1911-01-01","CIA INDUSTRIAL SCHLOSSER S.A.","Privado",12,"Têxtil e Vestuário","Tecidos para Vestuário"
"60.851.615/0001-53",2023-01-01,1520,"01520","152","1911-02-11","BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Bens de capital, Produtos e Serviços para os segmentos de Metalurgia, Movimentação de Materiais, Óleo e Gás, Energia e Aços Laminados e Trefilados, para os mercados nacionais e internacional"
"21.254.073/0001-80",2023-01-01,3450,"03450","345","1911-05-01","Companhia Itaunense Energia e Participações","Privado",12,"Emp. Adm. Part. - Energia Elétrica","(a) atividade imobiliária de imóveis próprios (6810-2) (b) aluguel e arrendamento de imóveis próprios (6810-2) (c) comercialização de energia elétrica (d) geração de energia (e) transmissão de ene"
"61.067.161/0001-97",2019-01-01,9040,"09040","904","1912-08-30","NADIR FIGUEIREDO IND E COM S.A.","Privado",12,"Extração Mineral","Fabricação de artigos de vidro para uso doméstico e embalagem"
"33.050.196/0001-88",2023-01-01,3824,"03824","382","1912-11-16","CIA PAULISTA DE FORCA E LUZ","Privado",12,"Energia Elétrica","Prestação de Serviço Público de Distribuição de Energia Elétrica"
"60.500.139/0001-26",2023-01-01,10472,"10472","1047","1914-12-13","SARAIVA LIVREIROS S.A. - EM RECUPERAÇÃO JUDICIAL","Privado",12,"Comércio (Atacado e Varejo)","Edição, indústria e comércio de livros e publicações em geral."
"20.933.354/0001-04",2013-01-01,4111,"04111","411","1916-11-03","CACHOEIRA VELONORTE","Privado",12,"Têxtil e Vestuário","Industrialização e comercialização de tecidos em geral prestação de serviços para terceiros dentro de suas atividades importações e exportações relacionadas com seus objetos sociais."
"92.665.611/0001-77",2023-01-01,9342,"09342","934","1920-01-23","DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS","Privado",12,"Comércio (Atacado e Varejo)","Comercio atacadista e varejista de medicamentos e produtos de perfumaria e toucador"
"61.351.532/0001-68",2023-01-01,11975,"11975","1197","1922-06-25","AZEVEDO E TRAVASSOS S.A.","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Execução de obras de construção pesada junto à órgãos púbicos e iniciativa privada."
"84.208.123/0001-02",2015-01-01,3174,"03174","317","1923-11-01","CIA DOCAS DE IMBITUBA","Privado",12,"Serviços Transporte e Logística","Administração Portuária"
"61.156.931/0001-78",2023-01-01,12823,"12823","1282","1924-01-02","SIDERURGICA J. L. ALIPERTI S.A.","Privado",12,"Metalurgia e Siderurgia","Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores"
"82.643.537/0001-34",2023-01-01,5380,"05380","538","1924-03-08","ELECTRO ACO ALTONA S.A.","Privado",12,"Metalurgia e Siderurgia","Fundição de Ferro e Aço"
"05.721.582/0001-19",2011-01-01,80004,"80004","8000","1924-04-19","TELEFÓNICA, S.A.","Estrangeiro",12,"Telecomunicações","Prestação de serviços públicos de telecomunicações"
"82.982.075/0001-80",2023-01-01,7544,"07544","754","1925-04-27","TEXTIL RENAUXVIEW S.A.","Privado",12,"Têxtil e Vestuário","Fiação e tecelagem de algodão"
"92.702.067/0001-96",2023-01-01,1210,"01210","121","1928-09-12","BCO ESTADO DO RIO GRANDE DO SUL S.A.","Estatal",12,"Bancos","Banco Múltiplo atuante nas carteiras comercial, crédito, financiamento e investimento, crédito imobiliário, desenvolvimento e arrendamento mercantil e de investimentos."
"08.884.213/0001-35",2019-01-01,80063,"80063","8006","1928-09-18","BCO PATAGONIA S.A.","Estrangeiro",12,"Bancos","Banco Comercial"
"61.065.298/0001-02",2023-01-01,8397,"08397","839","1928-10-01","MANGELS INDUSTRIAL S.A.","Privado",12,"Emp. Adm. Part. - Metalurgia e Siderurgia","Produção de relaminados, trefilados e perfilados de aço, exceto arames."
"61.584.140/0001-49",2023-01-01,3190,"03190","319","1929-01-02","REDE ENERGIA PARTICIPAÇÕES S.A.","Privado",12,"Energia Elétrica","Participação em outras empresas (A Rede Energia Participações é uma holding)"
"33.014.556/0001-96",2021-01-01,8087,"08087","808","1929-05-02","LOJAS AMERICANAS S.A.","Privado",12,"Comércio (Atacado e Varejo)","Comércio em geral, inclusive supermercado e lanchonete, lojas de conveniência, no varejo e no atacado, através de Lojas e Depósitos, de quaisquer mercadorias, bem como a realização de serviços."
"92.660.570/0001-26",2023-01-01,8192,"08192","819","1930-07-01","TREVISA INVESTIMENTOS S.A.","Privado",12,"Emp. Adm. Part. - Sem Setor Principal","Part. Capital outras empresas qualquer setor econômico.Locação de conjuntos comerciais."
"84.683.671/0001-94",2023-01-01,11991,"11991","1199","1932-04-11","WETZEL S.A.","Privado",12,"Metalurgia e Siderurgia","Fabricação de peças e acessórios para sistema motor de veículos automotoresFabricação de material elétrico e de luminárias para instalações em circuito de consumo"
"95.426.862/0001-97",2023-01-01,1570,"01570","157","1932-11-23","EXCELSIOR ALIMENTOS S.A.","Privado",12,"Alimentos","Atua na produção e comercialização de patês em bisnagas, sendo seus principais produtos: presuntos, fiambres, mortadelas, linguiças, salsichas e patês."
"88.611.983/0001-43",2011-01-01,6378,"06378","637","1932-12-28","GAZOLA SA INDÚSTRIA METALURGICA","Privado",12,"Metalurgia e Siderurgia","FABRICAÇÃO DE ARTIGO DE CUTELARIA"
"17.159.005/0001-64",2023-01-01,5983,"05983","598","1933-11-27","FIACAO E TECELAGEM SAO JOSE SA EM RECUPERACAO JUDICIAL","Privado",12,"Têxtil e Vestuário",""
"82.640.558/0001-04",2023-01-01,4146,"04146","414","1933-12-12","KARSTEN S.A.","Privado",12,"Têxtil e Vestuário","Fabricação, exportação, importação e o comércio atacadista e varejista de fios, tecidos e produtos têxteis em geral."
"92.929.520/0001-00",2020-01-01,10960,"10960","1096","1934-05-24","SPRINGER S.A.","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Indústria e Comércio, Importação e Exportação de Eletrodomésticos"
"01.838.723/0001-27",2023-01-01,16292,"16292","1629","1934-08-18","BRF S.A.","Privado",12,"Emp. Adm. Part. - Alimentos","Holding Operacional"
"58.128.174/0001-14",2010-01-01,2810,"02810","281","1935-03-01","CIA BANDEIRANTES ARMS GERAIS","Privado",12,"Serviços Transporte e Logística","A Companhia Bandeirantes de Armazéns Gerais tem como objetivo o mercado de carga em geral."
"61.585.865/0001-51",2023-01-01,5258,"05258","525","1935-03-28","Raia Drogasil S.A.","Privado",12,"Comércio (Atacado e Varejo)","Comércio de produtos farmacêuticos, perfumaria e afins."
"82.641.325/0001-18",2018-01-01,20141,"20141","2014","1935-03-30","CREMER SA","Privado",12,"Têxtil e Vestuário","Indústria e comércio de produtos têxteis (tecidos e não tecidos), cirúrgicos, hospitalares,adesivos cirúrgicos e industriais, cosméticos, de perfumaria e higiene, comércio de medicamentos, saneantes"
"82.636.986/0001-55",2023-01-01,11223,"11223","1122","1935-04-06","TEKA-TECELAGEM KUEHNRICH S.A. - Em Recuperação Judicial","Privado",12,"Têxtil e Vestuário","Fabricação de artigos de Cama, Mesa e Banho"
"60.637.238/0001-54",2023-01-01,12319,"12319","1231","1936-04-17","BLUE TECH SOLUTIONS EQI S.A.","Privado",12,"Alimentos",""
"91.983.056/0001-69",2023-01-01,7870,"07870","787","1936-04-30","KEPLER WEBER S.A.","Privado",12,"Emp. Adm. Part. - Metalurgia e Siderurgia","Indústria e comércio de produtos e matérias primas relacionadas a metalurgia, importação e exportação, prestação de serviços, comércio de produtos destinados a agroindústria."
"19.526.748/0001-50",2023-01-01,3395,"03395","339","1936-10-11","CIA INDUSTRIAL CATAGUASES","Privado",12,"Têxtil e Vestuário","indústria têxtil e a comercialização de fios e tecidos em geral e produtos intermediários têxteis."
"92.749.225/0001-63",2023-01-01,6629,"06629","662","1936-10-13","HERCULES S.A. FABRICA DE TALHERES","Privado",12,"Metalurgia e Siderurgia","Fabricação e a comercialização de toda a espécie de talheres e outros artigos de mesa para uso doméstico, artigos de adorno, beleza, higiene, móveis, material escolar, de escritório e profissional."
"60.605.664/0001-06",2011-01-01,22306,"22306","2230","1936-11-13","RAIA S.A.","Privado",12,"Emp. Adm. Part. - Farmacêutico e Higiene","Comércio varejista de produtos farmacêutico, sem manipulaçã de fórmulas."
"60.665.981/0001-18",2023-01-01,26867,"26867","2686","1936-11-27","União Química Farmacêutica Nacional S.A.","Privado",12,"Farmacêutico e Higiene","Fabricação de medicamentos para uso humano e veterinário, fabricação de preparações farmacêuticas e outros produtos químicos"
"30.540.991/0001-66",2023-01-01,13366,"13366","1336","1937-04-01","HAGA S.A. INDUSTRIA E COMERCIO","Privado",12,"Metalurgia e Siderurgia","INDUSTRIA METALÚRGICA - FAB. DE FECHADURAS P/CONSTRUÇÃO CIVIL"
"43.948.405/0001-69",2023-01-01,26506,"26506","2650","1937-06-11","LUPO S.A.","Privado",12,"Comércio (Atacado e Varejo)","Industria e comércio de meias, malharia e confecções têxteis em gerais, de máquinas, peças e equipamentos para indústrial têxtil, fiação, embalagens e mecãnica em geral."
"61.082.004/0001-50",2023-01-01,8427,"08427","842","1937-07-21","MANUFATURA DE BRINQUEDOS ESTRELA S.A.","Privado",12,"Brinquedos e Lazer","Fabricação de Brinquedos e Jogos Recreativos"
"28.127.603/0001-78",2023-01-01,1155,"01155","115","1937-10-15","BANESTES S.A. - BCO EST ESPIRITO SANTO","Estatal",12,"Bancos","Intermediação Financeira inerente aos Bancos Múltiplos por meio das carteiras autorizadas, inclusive Operações de Câmbio."
"84.683.374/0001-49",2023-01-01,6343,"06343","634","1938-02-15","TUPY S.A.","Privado",12,"Metalurgia e Siderurgia","Produtos fundidos para os setores de transporte de carga, infraestrutura, agricultura e geração de energia / conexões em ferro fundido para aplicações em redes hidráulicas e de gás / perfis"
"07.450.604/0001-89",2015-01-01,21113,"21113","2111","1938-02-20","BANCO INDUSTRIAL E COMERCIAL S/A","Privado",12,"Bancos","BANCO MÚLTIPLO"
"56.720.428/0001-63",2023-01-01,7510,"07510","751","1938-04-19","ROMI S.A.","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Indústria e Comércio de Máquinas-Ferramenta"
"61.101.895/0001-45",2020-01-01,14923,"14923","1492","1938-09-23","SANTHER FAB DE PAPEL STA THEREZINHA S.A.","Privado",12,"Papel e Celulose","Produção de papéis higienico, guardanapos, absorventes, fraldas, protetores, produtos de higiene e produtos domissanitários em geral."
"33.376.989/0001-91",2023-01-01,24180,"24180","2418","1939-04-03","IRB - BRASIL RESSEGUROS S.A.","Privado",12,"Seguradoras e Corretoras","Operações de resseguro e retrocessão"
"33.467.572/0001-34",2023-01-01,11231,"11231","1123","1939-06-21","TEKNO S.A. - INDUSTRIA E COMERCIO","Privado",12,"Emp. Adm. Part. - Metalurgia e Siderurgia","Pintura de Bobinas e Chapas Metálicas"
"92.781.335/0001-02",2023-01-01,6173,"06173","617","1939-11-17","TAURUS ARMAS S.A.","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Indústria e comércio de armas"
"61.092.037/0001-81",2023-01-01,5762,"05762","576","1940-01-30","ETERNIT S.A. - Em Recuperação Judicial","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Industrialização e comercialização de produtos de fibrocimento, cimento, concreto, gesso, produtos de matéria plástica, bem como outros materiais de construção e respectivos acessórios."
"04.912.242/0001-02",2023-01-01,9717,"09717","971","1940-03-18","PORTUENSE FERRAGENS S/A","Privado",12,"Construção Civil, Mat. Constr. e Decoração",""
"17.184.037/0001-10",2023-01-01,1325,"01325","132","1940-05-03","BCO MERCANTIL DO BRASIL S.A.","Privado",12,"Bancos","Finanças, Banco Múltiplo"
"61.156.113/0001-75",2023-01-01,11932,"11932","1193","1940-05-28","IOCHPE MAXION S.A.","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Fabricação e comercialização de produtos do setor automotivo e equipamentos ferroviários."
"33.042.730/0001-04",2023-01-01,4030,"04030","403","1941-04-09","CIA SIDERURGICA NACIONAL","Privado",12,"Metalurgia e Siderurgia","A Companhia Siderúrgica Nacional atua nos setores de mineração, siderurgia, logística, cimento e energia."
"92.791.243/0001-03",2023-01-01,2429,"02429","242","1941-06-06","IRANI PAPEL E EMBALAGEM S.A.","Privado",12,"Embalagens","Fabricação de papel para embalagem, embalagens de papelão ondulado e resinas."
"60.643.228/0001-21",2019-01-01,12793,"12793","1279","1941-07-25","FIBRIA CELULOSE S.A.","Privado",12,"Papel e Celulose",""
"61.409.892/0001-73",2023-01-01,25984,"25984","2598","1941-12-12","COMPANHIA BRASILEIRA DE ALUMÍNIO","Privado",12,"Extração Mineral","Extração de minério de alumínio, serviços de usinagem, caldeira e montagem de maquinário."
"86.375.425/0001-09",2023-01-01,8753,"08753","875","1942-01-08","METISA METALURGICA TIMBOENSE S.A.","Privado",12,"Metalurgia e Siderurgia","Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação."
"60.882.628/0001-90",2012-01-01,4650,"04650","465","1942-04-17","CONFAB INDUSTRIAL SA","Estrangeiro",12,"Metalurgia e Siderurgia","Produção de bens de capital por encomenda"
"04.902.979/0001-44",2023-01-01,922,"00922","92","1942-07-09","BCO AMAZONIA S.A.","Estatal",12,"Bancos",""
"60.746.948/0001-12",2023-01-01,906,"00906","90","1943-01-05","BCO BRADESCO S.A.","Privado",12,"Bancos","Prática de operações bancárias em geral, inclusive câmbio"
"33.592.510/0001-54",2023-01-01,4170,"04170","417","1943-01-11","VALE S.A.","Privado",12,"Extração Mineral","Mineração"
"33.066.408/0001-15",2019-01-01,3,"00003","","1943-03-02","EMPRESA FINANCEIRA","Privado",12,"Bancos",""
"33.200.049/0001-47",2023-01-01,6700,"06700","670","1943-04-28","HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL","Privado",12,"Hospedagem e Turismo","Prestação de Serviços na Indústria Hoteleira"
"51.466.860/0001-56",2023-01-01,20516,"20516","2051","1943-07-13","SAO MARTINHO S.A.","Privado",3,"Agricultura (Açúcar, Álcool e Cana)","Fabricação e comércio de açúcar, álcool e derivados."
"60.872.504/0001-23",2023-01-01,19348,"19348","1934","1943-09-09","ITAU UNIBANCO HOLDING S.A.","Privado",12,"Bancos","A sociedade tem por objeto a atividade bancária em todas as modalidades autorizadas, inclusive a de operações de câmbio."
"17.157.777/0001-67",2023-01-01,1350,"01350","135","1944-02-03","BANCO NACIONAL S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL","Privado",12,"Bancos",""
"60.664.810/0001-74",2010-01-01,108,"00108","10","1944-08-18","AÇOS VILLARES SA","Privado",12,"Metalurgia e Siderurgia","Fabricação e Comércio de Aços Especiais"
"61.080.313/0001-91",2023-01-01,4448,"04448","444","1944-09-01","COBRASMA S.A.","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Construção e Reparação de Material Ferroviário"
"61.084.984/0001-20",2016-01-01,1970,"01970","197","1945-07-20","BRASMOTOR SA","Estrangeiro Holding",12,"Máquinas, Equipamentos, Veículos e Peças","Holding"
"33.147.315/0001-15",2012-01-01,1201,"01201","120","1945-08-14","BANCO BERJ S.A.","Privado",12,"Bancos","Prática de operações bancárias em geral."
"61.088.894/0001-08",2023-01-01,2100,"02100","210","1945-08-29","CAMBUCI S.A.","Privado",12,"Têxtil e Vestuário",""
"85.778.074/0001-06",2023-01-01,13439,"13439","1343","1946-01-02","METALURGICA RIOSULENSE S.A.","Privado",12,"Máquinas, Equipamentos, Veículos e Peças",""
"33.412.081/0001-96",2023-01-01,9989,"09989","998","1946-02-01","REFINARIA DE PETROLEOS MANGUINHOS S.A.","Privado",12,"Petróleo e Gás","Fabricação de produtos de refino de petróleo."
"60.543.816/0001-93",2023-01-01,8672,"08672","867","1946-03-12","IGUATEMI S.A.","Privado Holding",12,"Emp. Adm. Part. - Comércio (Atacado e Varejo)","Exploração comercial, adminstração e planejamento de shopping centers (Conforme Artigo 3o. do Estatuto Social)"
"07.857.093/0001-14",2023-01-01,80187,"80187","8018","1946-07-12","AURA MINERALS INC.","Estrangeiro Holding",12,"Extração Mineral","Aproveitamento de jazidas minerais, principalmente por meio de exploração e extração de minérios, com foco em ouro e cobre."
"33.041.260/0652-90",2023-01-01,6505,"06505","650","1946-07-12","Grupo Casas Bahia S.A.","Privado",12,"Comércio (Atacado e Varejo)",""
"33.228.024/0001-51",2023-01-01,11070,"11070","1107","1946-10-25","WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.","Privado",12,"Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças","Comércio a varejo e por atacado de caminhões, automóveis, camionetas, utilitários novos e usados, máquinas, equipamentos, instalação e manutenção. Holding de instituições não-financeira."
"33.102.476/0001-92",2023-01-01,8893,"08893","889","1947-12-22","MONTEIRO ARANHA S.A.","Privado Holding",12,"Emp. Adm. Part. - Sem Setor Principal","HOLDING - PARTICIPAÇÃO SOCIETÁRIA"
"50.564.053/0001-03",2023-01-01,12190,"12190","1219","1948-01-14","BOMBRIL S.A.","Privado",12,"Farmacêutico e Higiene","1080"
"33.541.368/0001-16",2023-01-01,3328,"03328","332","1948-03-15","CIA HIDRO ELÉTRICA DO SÃO FRANCISCO","Privado Holding",12,"Energia Elétrica","Produção e Transmissão de Energia Elétrica"
"56.994.924/0001-05",2015-01-01,1686,"01686","168","1948-04-10","PRÓ METALURGIA SA","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","INDUSTRIALIZAÇÃO DE BICICLETAS, PEÇAS E ACESSÓRIOS"
"56.992.423/0001-90",2023-01-01,1694,"01694","169","1948-04-26","BICICLETAS MONARK S.A.","Privado",12,"Brinquedos e Lazer","Fabricação e Comercialização de Bicicletas"
"46.014.635/0001-49",2018-01-01,4774,"04774","477","1948-05-18","CONSTRUTORA LIX DA CUNHA S.A.","Privado",12,"Construção Civil, Mat. Constr. e Decoração","CONSTRUÇÃO CIVIL, TERRAPLANAGEM E PAVIMENTAÇÃO"
"05.711.813/0001-03",2016-01-01,80101,"80101","8010","1948-09-16","SOLVAY INDUPA SAIC","Estrangeiro",12,"Emp. Adm. Part. - Petroquímicos e Borracha",""
"84.684.455/0001-63",2023-01-01,26255,"26255","2625","1949-01-04","Tigre S.A. Participações","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Industrialização, comércio, importação e exportação de tubos e conexões de toda a espécie, acessórios sanitários e materiais para construção em geral"
"33.039.223/0001-11",2017-01-01,22829,"22829","2282","1949-04-13","CIMENTO TUPI S.A.","Privado",12,"Construção Civil, Mat. Constr. e Decoração","A fabricação, o comércio e o transporte de cimento, cal e argamassa, seus subprodutos, e escória siderúrgica, no mercado interno ou externo serviços de concretagem participações em outras sociedades"
"88.611.835/0001-29",2023-01-01,8451,"08451","845","1949-08-06","MARCOPOLO S.A.","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Indústria e comércio de ônibus e carrocerias para ônibus, suas partes, peças e componentes"
"02.183.757/0001-93",2011-01-01,19143,"19143","1914","1950-01-01","EDITORA ABRIL S/A","Privado",12,"Comunicação e Informática","Publicação de revistas e periódicos"
"60.476.884/0001-87",2023-01-01,8575,"08575","857","1950-03-03","MAHLE-METAL LEVE S.A.","Privado",12,"Máquinas, Equipamentos, Veículos e Peças","Industria e comércio de peças e componentes para motores a combustão"
"23.041.875/0001-37",2023-01-01,80225,"80225","8022","1950-03-24","Almacenes Éxito S.A.","",12,"Comércio (Atacado e Varejo)","Comércio Varejista."
"92.012.467/0001-70",2023-01-01,4537,"04537","453","1950-05-24","GRAZZIOTIN S.A.","Privado",12,"Comércio (Atacado e Varejo)","Comércio Varejista de Vesturio e Bazar."
"33.035.536/0001-00",2023-01-01,7811,"07811","781","1950-10-10","JOAO FORTES ENGENHARIA S.A. - Em Recuperação Judicial","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Incorporação e construção de imóveis execução por administração de obras de construção civil."
"82.640.632/0001-84",2018-01-01,8117,"08117","811","1950-12-29","LOJAS HERING S.A.","Privado",12,"Têxtil e Vestuário","Comércio Varejista de Artigos Têxteis"
"07.206.816/0001-15",2023-01-01,20338,"20338","2033","1951-05-21","M.DIAS BRANCO S.A. IND COM DE ALIMENTOS","Privado",12,"Alimentos","Industrialização e comércio de biscoitos bolachas massas bolos mistura para bolos snacks salgadinhos torradas farinha de trigo e outros produtos derivados do trigo refrescos em pó etc."
"61.410.395/0001-95",2018-01-01,6017,"06017","601","1951-10-17","FIBAM COMPANHIA INDUSTRIAL","Privado",12,"Metalurgia e Siderurgia","Fabricação de peças e acessórios para veículos automotores tais como parafusos, porcas, arruelas, roscas e similares."
"56.643.018/0001-66",2023-01-01,5770,"05770","577","1951-11-23","EUCATEX S.A. INDUSTRIA E COMERCIO","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Indústria e Comércio de chapas de fibra de madeira"
"80.227.184/0001-66",2022-01-01,8605,"08605","860","1951-11-27","METALGRAFICA IGUACU S.A.","Privado",12,"Metalurgia e Siderurgia","Fábrica de embalagens metálicas para alimentos"
"17.193.806/0001-46",2023-01-01,4707,"04707","470","1952-02-09","CONSORCIO ALFA DE ADMINISTRACAO S.A.","Privado Holding",12,"Emp. Adm. Part. - Intermediação Financeira","A sociedade tem por objeto social: a)todos e quaisquer serviços de engenharia permitidos pelas leis e regulamentos aplicáveis à espécieb)atuar como representante, administradora ou procurad"
"61.374.161/0001-30",2023-01-01,1562,"01562","156","1952-05-07","BAUMER S.A.","Privado",12,"Metalurgia e Siderurgia","Fabricação aparelhos e instrumentos p/ uso medico hospitalar e ortopedia"
"17.155.730/0001-64",2023-01-01,2453,"02453","245","1952-05-22","CIA ENERGETICA DE MINAS GERAIS - CEMIG","Estatal",12,"Energia Elétrica","Concessionária de serviço público de energia elétrica."
"50.926.955/0001-42",2023-01-01,11762,"11762","1176","1952-06-05","VULCABRAS S.A.","Privado",12,"Têxtil e Vestuário","Representantes comerciais e agentes do comércio de têxteis, vestuário, calçados e artigos de viagem."
"86.047.198/0001-84",2011-01-01,19801,"19801","1980","1952-08-19","BUDDEMEYER S/A","Privado Holding",12,"Têxtil e Vestuário","Fabricação de artefatos têxteis para uso doméstico"
"82.981.812/0001-20",2016-01-01,2038,"02038","203","1952-10-01","BUETTNER SA IND E COMERCIO - EM RECUPERAÇÃO JUDICIAL","Privado",12,"Têxtil e Vestuário","Banho e Cama"
"83.296.889/0001-23",2023-01-01,10243,"10243","1024","1952-11-10","MASSA FALIDA DA SA IND E COMERCIO CHAPECO","Privado",12,"Alimentos","A industrialização de produtos alimentares derivados de animais suínos, bovinos e outros que convier, inclusive subprodutos e o respectivo comércio, por atacado e a varejo."
"33.000.167/0001-01",2023-01-01,9512,"09512","951","1953-10-03","PETROLEO BRASILEIRO S.A. PETROBRAS","Estatal Holding",12,"Petróleo e Gás","Pesquisa, lavra, refinação, processamento, comércio e transporte de petróleo, de seus derivados, de gás natural e de outros hidrocarbonetos fluidos, além das atividades vinculadas à energia."
"92.721.232/0001-57",2023-01-01,15822,"15822","1582","1953-11-12","BANRISUL ARMAZENS GERAIS SA","Privado",12,"Serviços Transporte e Logística","Serviços de movimentação e armazenagem de mercadorias em depósito alfandegado e armazém geral, locação de imóvel próprio e no armazenamento, digitalização e gerenciamento de documentos."
"33.386.210/0001-19",2023-01-01,10880,"10880","1088","1953-12-18","SONDOTECNICA ENGENHARIA SOLOS S.A.","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Serviços de Engenharia."
"33.256.439/0001-39",2023-01-01,18465,"18465","1846","1953-12-20","ULTRAPAR PARTICIPACOES S.A.","Privado",12,"Emp. Adm. Part. - Petróleo e Gás","Atuação em energia e infraestrutura por meio da Ipiranga, Ultragaz e Ultracargo."
"17.162.082/0001-73",2023-01-01,4782,"04782","478","1953-12-31","MENDES JUNIOR ENGENHARIA S.A.","Privado",12,"Construção Civil, Mat. Constr. e Decoração","Construção pesada"
