"cnpj","dataReferencia","codigoCVM","codigoCVM2","codigoCVMsemDigito","codB3","setorCVM","dataConstituicao","dataSituacaoRegistroCVM","nomeEmpresarial","especieControleAcionario","mesEncerraExercSocial","descricaoAtividade"
"61.156.931/0001-78",2023-01-01,"12823","12823","1282","APTI","Metalurgia e Siderurgia","1924-01-02","1986-06-06","SIDERURGICA J. L. ALIPERTI S.A.","Privado",12,"Fabricação de peças e acessórios para o sistema de direção e suspensão de veículos automotores"
"82.643.537/0001-34",2023-01-01,"5380","05380","538","EALT","Metalurgia e Siderurgia","1924-03-08","1950-01-19","ELECTRO ACO ALTONA S.A.","Privado",12,"Fundição de Ferro e Aço"
"05.721.582/0001-19",2011-01-01,"80004","80004","8000",NA,"Telecomunicações","1924-04-19","2000-05-24","TELEFÓNICA, S.A.","Estrangeiro",12,"Prestação de serviços públicos de telecomunicações"
"82.982.075/0001-80",2023-01-01,"7544","07544","754","TXRX","Têxtil e Vestuário","1925-04-27","1969-08-11","TEXTIL RENAUXVIEW S.A.","Privado",12,"Fiação e tecelagem de algodão"
"92.702.067/0001-96",2023-01-01,"1210","01210","121","BRSR","Bancos","1928-09-12","1977-07-20","BCO ESTADO DO RIO GRANDE DO SUL S.A.","Estatal",12,"Banco Múltiplo atuante nas carteiras comercial, crédito, financiamento e investimento, crédito imobiliário, desenvolvimento e arrendamento mercantil e de investimentos."
"08.884.213/0001-35",2019-01-01,"80063","80063","8006",NA,"Bancos","1928-09-18","2007-07-09","BCO PATAGONIA S.A.","Estrangeiro",12,"Banco Comercial"
"61.065.298/0001-02",2023-01-01,"8397","08397","839","MGEL","Emp. Adm. Part. - Metalurgia e Siderurgia","1928-10-01","1971-12-28","MANGELS INDUSTRIAL S.A.","Privado",12,"Produção de relaminados, trefilados e perfilados de aço, exceto arames."
"61.584.140/0001-49",2023-01-01,"3190","03190","319","REDE","Energia Elétrica","1929-01-02","1969-10-16","REDE ENERGIA PARTICIPAÇÕES S.A.","Privado",12,"Participação em outras empresas (A Rede Energia Participações é uma holding)"
"33.014.556/0001-96",2021-01-01,"8087","08087","808","LAME","Comércio (Atacado e Varejo)","1929-05-02","1977-07-20","LOJAS AMERICANAS S.A.","Privado",12,"Comércio em geral, inclusive supermercado e lanchonete, lojas de conveniência, no varejo e no atacado, através de Lojas e Depósitos, de quaisquer mercadorias, bem como a realização de serviços."
"92.660.570/0001-26",2023-01-01,"8192","08192","819","LUXM","Emp. Adm. Part. - Sem Setor Principal","1930-07-01","1980-12-15","TREVISA INVESTIMENTOS S.A.","Privado",12,"Part. Capital outras empresas qualquer setor econômico.Locação de conjuntos comerciais."
"84.683.671/0001-94",2023-01-01,"11991","11991","1199","MWET","Metalurgia e Siderurgia","1932-04-11","1984-10-09","WETZEL S.A.","Privado",12,"Fabricação de peças e acessórios para sistema motor de veículos automotoresFabricação de material elétrico e de luminárias para instalações em circuito de consumo"
"95.426.862/0001-97",2023-01-01,"1570","01570","157","BAUH","Alimentos","1932-11-23","1977-07-20","EXCELSIOR ALIMENTOS S.A.","Privado",12,"Atua na produção e comercialização de patês em bisnagas, sendo seus principais produtos: presuntos, fiambres, mortadelas, linguiças, salsichas e patês."
"88.611.983/0001-43",2011-01-01,"6378","06378","637","GAZO","Metalurgia e Siderurgia","1932-12-28","1932-12-28","GAZOLA SA INDÚSTRIA METALURGICA","Privado",12,"FABRICAÇÃO DE ARTIGO DE CUTELARIA"
"17.159.005/0001-64",2023-01-01,"5983","05983","598","SJOS","Têxtil e Vestuário","1933-11-27","1971-10-18","FIACAO E TECELAGEM SAO JOSE SA EM RECUPERACAO JUDICIAL","Privado",12,""
"82.640.558/0001-04",2023-01-01,"4146","04146","414","CTKA","Têxtil e Vestuário","1933-12-12","1971-12-29","KARSTEN S.A.","Privado",12,"Fabricação, exportação, importação e o comércio atacadista e varejista de fios, tecidos e produtos têxteis em geral."
"92.929.520/0001-00",2020-01-01,"10960","10960","1096","SPRI","Máquinas, Equipamentos, Veículos e Peças","1934-05-24","1968-10-24","SPRINGER S.A.","Privado",12,"Indústria e Comércio, Importação e Exportação de Eletrodomésticos"
"01.838.723/0001-27",2023-01-01,"16292","16292","1629","BRFS","Emp. Adm. Part. - Alimentos","1934-08-18","1997-06-24","BRF S.A.","Privado",12,"Holding Operacional"
"58.128.174/0001-14",2010-01-01,"2810","02810","281","CBAG","Serviços Transporte e Logística","1935-03-01","1977-07-20","CIA BANDEIRANTES ARMS GERAIS","Privado",12,"A Companhia Bandeirantes de Armazéns Gerais tem como objetivo o mercado de carga em geral."
"61.585.865/0001-51",2023-01-01,"5258","05258","525","RADL","Comércio (Atacado e Varejo)","1935-03-28","1977-07-20","Raia Drogasil S.A.","Privado",12,"Comércio de produtos farmacêuticos, perfumaria e afins."
"82.641.325/0001-18",2018-01-01,"20141","20141","2014","CREM","Têxtil e Vestuário","1935-03-30","2006-06-30","CREMER SA","Privado",12,"Indústria e comércio de produtos têxteis (tecidos e não tecidos), cirúrgicos, hospitalares,adesivos cirúrgicos e industriais, cosméticos, de perfumaria e higiene, comércio de medicamentos, saneantes"
"82.636.986/0001-55",2023-01-01,"11223","11223","1122","TEKA","Têxtil e Vestuário","1935-04-06","1969-12-04","TEKA-TECELAGEM KUEHNRICH S.A. - Em Recuperação Judicial","Privado",12,"Fabricação de artigos de Cama, Mesa e Banho"
"60.637.238/0001-54",2023-01-01,"12319","12319","1231","BLUT","Alimentos","1936-04-17","1985-03-14","BLUE TECH SOLUTIONS EQI S.A.","Privado",12,""
"60.637.238/0001-54",2023-01-01,"12319","12319","1231","JBDU","Alimentos","1936-04-17","1985-03-14","BLUE TECH SOLUTIONS EQI S.A.","Privado",12,""
"91.983.056/0001-69",2023-01-01,"7870","07870","787","KEPL","Emp. Adm. Part. - Metalurgia e Siderurgia","1936-04-30","1980-12-15","KEPLER WEBER S.A.","Privado",12,"Indústria e comércio de produtos e matérias primas relacionadas a metalurgia, importação e exportação, prestação de serviços, comércio de produtos destinados a agroindústria."
"19.526.748/0001-50",2023-01-01,"3395","03395","339","CATA","Têxtil e Vestuário","1936-10-11","1973-12-19","CIA INDUSTRIAL CATAGUASES","Privado",12,"indústria têxtil e a comercialização de fios e tecidos em geral e produtos intermediários têxteis."
"92.749.225/0001-63",2023-01-01,"6629","06629","662","HETA","Metalurgia e Siderurgia","1936-10-13","1968-11-01","HERCULES S.A. FABRICA DE TALHERES","Privado",12,"Fabricação e a comercialização de toda a espécie de talheres e outros artigos de mesa para uso doméstico, artigos de adorno, beleza, higiene, móveis, material escolar, de escritório e profissional."
"60.605.664/0001-06",2011-01-01,"22306","22306","2230","RAIA","Emp. Adm. Part. - Farmacêutico e Higiene","1936-11-13","2010-12-16","RAIA S.A.","Privado",12,"Comércio varejista de produtos farmacêutico, sem manipulaçã de fórmulas."
"60.665.981/0001-18",2023-01-01,"26867","26867","2686",NA,"Farmacêutico e Higiene","1936-11-27","2022-07-07","União Química Farmacêutica Nacional S.A.","Privado",12,"Fabricação de medicamentos para uso humano e veterinário, fabricação de preparações farmacêuticas e outros produtos químicos"
"30.540.991/0001-66",2023-01-01,"13366","13366","1336","HAGA","Metalurgia e Siderurgia","1937-04-01","1988-09-01","HAGA S.A. INDUSTRIA E COMERCIO","Privado",12,"INDUSTRIA METALÚRGICA - FAB. DE FECHADURAS P/CONSTRUÇÃO CIVIL"
"43.948.405/0001-69",2023-01-01,"26506","26506","2650",NA,"Comércio (Atacado e Varejo)","1937-06-11","2021-12-17","LUPO S.A.","Privado",12,"Industria e comércio de meias, malharia e confecções têxteis em gerais, de máquinas, peças e equipamentos para indústrial têxtil, fiação, embalagens e mecãnica em geral."
"61.082.004/0001-50",2023-01-01,"8427","08427","842","ESTR","Brinquedos e Lazer","1937-07-21","1968-06-28","MANUFATURA DE BRINQUEDOS ESTRELA S.A.","Privado",12,"Fabricação de Brinquedos e Jogos Recreativos"
"28.127.603/0001-78",2023-01-01,"1155","01155","115","BEES","Bancos","1937-10-15","1977-07-20","BANESTES S.A. - BCO EST ESPIRITO SANTO","Estatal",12,"Intermediação Financeira inerente aos Bancos Múltiplos por meio das carteiras autorizadas, inclusive Operações de Câmbio."
"84.683.374/0001-49",2023-01-01,"6343","06343","634","TUPY","Metalurgia e Siderurgia","1938-02-15","1966-07-01","TUPY S.A.","Privado",12,"Produtos fundidos para os setores de transporte de carga, infraestrutura, agricultura e geração de energia / conexões em ferro fundido para aplicações em redes hidráulicas e de gás / perfis"
"07.450.604/0001-89",2015-01-01,"21113","21113","2111","BICB","Bancos","1938-02-20","2007-09-17","BANCO INDUSTRIAL E COMERCIAL S/A","Privado",12,"BANCO MÚLTIPLO"
"56.720.428/0001-63",2023-01-01,"7510","07510","751","ROMI","Máquinas, Equipamentos, Veículos e Peças","1938-04-19","1938-04-19","ROMI S.A.","Privado",12,"Indústria e Comércio de Máquinas-Ferramenta"
"61.101.895/0001-45",2020-01-01,"14923","14923","1492",NA,"Papel e Celulose","1938-09-23","1995-06-29","SANTHER FAB DE PAPEL STA THEREZINHA S.A.","Privado",12,"Produção de papéis higienico, guardanapos, absorventes, fraldas, protetores, produtos de higiene e produtos domissanitários em geral."
"33.376.989/0001-91",2023-01-01,"24180","24180","2418","IRBR","Seguradoras e Corretoras","1939-04-03","2017-07-27","IRB - BRASIL RESSEGUROS S.A.","Privado",12,"Operações de resseguro e retrocessão"
"33.467.572/0001-34",2023-01-01,"11231","11231","1123","TKNO","Emp. Adm. Part. - Metalurgia e Siderurgia","1939-06-21","1977-07-20","TEKNO S.A. - INDUSTRIA E COMERCIO","Privado",12,"Pintura de Bobinas e Chapas Metálicas"
"92.781.335/0001-02",2023-01-01,"6173","06173","617","TASA","Máquinas, Equipamentos, Veículos e Peças","1939-11-17","1982-03-02","TAURUS ARMAS S.A.","Privado",12,"Indústria e comércio de armas"
"61.092.037/0001-81",2023-01-01,"5762","05762","576","ETER","Construção Civil, Mat. Constr. e Decoração","1940-01-30","1970-11-17","ETERNIT S.A. - Em Recuperação Judicial","Privado",12,"Industrialização e comercialização de produtos de fibrocimento, cimento, concreto, gesso, produtos de matéria plástica, bem como outros materiais de construção e respectivos acessórios."
"04.912.242/0001-02",2023-01-01,"9717","09717","971",NA,"Construção Civil, Mat. Constr. e Decoração","1940-03-18","2001-03-31","PORTUENSE FERRAGENS S/A","Privado",12,""
"17.184.037/0001-10",2023-01-01,"1325","01325","132","BMEB","Bancos","1940-05-03","1977-07-20","BCO MERCANTIL DO BRASIL S.A.","Privado",12,"Finanças, Banco Múltiplo"
"61.156.113/0001-75",2023-01-01,"11932","11932","1193","MYPK","Máquinas, Equipamentos, Veículos e Peças","1940-05-28","1984-07-17","IOCHPE MAXION S.A.","Privado",12,"Fabricação e comercialização de produtos do setor automotivo e equipamentos ferroviários."
"33.042.730/0001-04",2023-01-01,"4030","04030","403","CSNA","Metalurgia e Siderurgia","1941-04-09","1943-02-26","CIA SIDERURGICA NACIONAL","Privado",12,"A Companhia Siderúrgica Nacional atua nos setores de mineração, siderurgia, logística, cimento e energia."
"92.791.243/0001-03",2023-01-01,"2429","02429","242","RANI","Embalagens","1941-06-06","1977-07-20","IRANI PAPEL E EMBALAGEM S.A.","Privado",12,"Fabricação de papel para embalagem, embalagens de papelão ondulado e resinas."
"60.643.228/0001-21",2019-01-01,"12793","12793","1279","FIBR","Papel e Celulose","1941-07-25","1986-06-02","FIBRIA CELULOSE S.A.","Privado",12,""
"61.409.892/0001-73",2023-01-01,"25984","25984","2598","CBAV","Extração Mineral","1941-12-12","2021-07-13","COMPANHIA BRASILEIRA DE ALUMÍNIO","Privado",12,"Extração de minério de alumínio, serviços de usinagem, caldeira e montagem de maquinário."
"86.375.425/0001-09",2023-01-01,"8753","08753","875","MTSA","Metalurgia e Siderurgia","1942-01-08","1971-05-18","METISA METALURGICA TIMBOENSE S.A.","Privado",12,"Fabricação de máquinas e equipamentos para a agricultura e pecuária, peças e acessórios, exceto para irrigação."
"60.882.628/0001-90",2012-01-01,"4650","04650","465","CNFB","Metalurgia e Siderurgia","1942-04-17","1980-08-21","CONFAB INDUSTRIAL SA","Estrangeiro",12,"Produção de bens de capital por encomenda"
"04.902.979/0001-44",2023-01-01,"922","00922","92","BAZA","Bancos","1942-07-09","1977-07-20","BCO AMAZONIA S.A.","Estatal",12,""
"60.746.948/0001-12",2023-01-01,"906","00906","90","BBDC","Bancos","1943-01-05","1977-07-20","BCO BRADESCO S.A.","Privado",12,"Prática de operações bancárias em geral, inclusive câmbio"
"33.592.510/0001-54",2023-01-01,"4170","04170","417","VALE","Extração Mineral","1943-01-11","1970-01-02","VALE S.A.","Privado",12,"Mineração"
"33.066.408/0001-15",2019-01-01,"3","00003","",NA,"Bancos","1943-03-02","1977-07-20","EMPRESA FINANCEIRA","Privado",12,""
"33.200.049/0001-47",2023-01-01,"6700","06700","670","HOOT","Hospedagem e Turismo","1943-04-28","1980-08-08","HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL","Privado",12,"Prestação de Serviços na Indústria Hoteleira"
"51.466.860/0001-56",2023-01-01,"20516","20516","2051","SMTO","Agricultura (Açúcar, Álcool e Cana)","1943-07-13","2007-02-07","SAO MARTINHO S.A.","Privado",3,"Fabricação e comércio de açúcar, álcool e derivados."
"60.872.504/0001-23",2023-01-01,"19348","19348","1934","ITUB","Bancos","1943-09-09","2002-12-30","ITAU UNIBANCO HOLDING S.A.","Privado",12,"A sociedade tem por objeto a atividade bancária em todas as modalidades autorizadas, inclusive a de operações de câmbio."
"17.157.777/0001-67",2023-01-01,"1350","01350","135","BNAC","Bancos","1944-02-03","1977-07-20","BANCO NACIONAL S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL","Privado",12,""
"60.664.810/0001-74",2010-01-01,"108","00108","10","AVIL","Metalurgia e Siderurgia","1944-08-18","1969-05-16","AÇOS VILLARES SA","Privado",12,"Fabricação e Comércio de Aços Especiais"
"61.080.313/0001-91",2023-01-01,"4448","04448","444","CBMA","Máquinas, Equipamentos, Veículos e Peças","1944-09-01","1979-12-12","COBRASMA S.A.","Privado",12,"Construção e Reparação de Material Ferroviário"
"61.084.984/0001-20",2016-01-01,"1970","01970","197","BMTO","Máquinas, Equipamentos, Veículos e Peças","1945-07-20","1969-08-08","BRASMOTOR SA","Estrangeiro Holding",12,"Holding"
"33.147.315/0001-15",2012-01-01,"1201","01201","120",NA,"Bancos","1945-08-14","1977-07-20","BANCO BERJ S.A.","Privado",12,"Prática de operações bancárias em geral."
"61.088.894/0001-08",2023-01-01,"2100","02100","210","CAMB","Têxtil e Vestuário","1945-08-29","1985-01-05","CAMBUCI S.A.","Privado",12,""
"85.778.074/0001-06",2023-01-01,"13439","13439","1343","RSUL","Máquinas, Equipamentos, Veículos e Peças","1946-01-02","1988-11-29","METALURGICA RIOSULENSE S.A.","Privado",12,""
"33.412.081/0001-96",2023-01-01,"9989","09989","998","RPMG","Petróleo e Gás","1946-02-01","1970-05-14","REFINARIA DE PETROLEOS MANGUINHOS S.A.","Privado",12,"Fabricação de produtos de refino de petróleo."
"60.543.816/0001-93",2023-01-01,"8672","08672","867","IGTI","Emp. Adm. Part. - Comércio (Atacado e Varejo)","1946-03-12","1946-03-12","IGUATEMI S.A.","Privado Holding",12,"Exploração comercial, adminstração e planejamento de shopping centers (Conforme Artigo 3o. do Estatuto Social)"
"60.543.816/0001-93",2023-01-01,"8672","08672","867","JPSA","Emp. Adm. Part. - Comércio (Atacado e Varejo)","1946-03-12","1946-03-12","IGUATEMI S.A.","Privado Holding",12,"Exploração comercial, adminstração e planejamento de shopping centers (Conforme Artigo 3o. do Estatuto Social)"
"07.857.093/0001-14",2023-01-01,"80187","80187","8018","AURA","Extração Mineral","1946-07-12","2020-06-15","AURA MINERALS INC.","Estrangeiro Holding",12,"Aproveitamento de jazidas minerais, principalmente por meio de exploração e extração de minérios, com foco em ouro e cobre."
"33.041.260/0652-90",2023-01-01,"6505","06505","650","BHIA","Comércio (Atacado e Varejo)","1946-07-12","1981-11-24","Grupo Casas Bahia S.A.","Privado",12,""
"33.041.260/0652-90",2023-01-01,"6505","06505","650","VIIA","Comércio (Atacado e Varejo)","1946-07-12","1981-11-24","Grupo Casas Bahia S.A.","Privado",12,""
"33.041.260/0652-90",2023-01-01,"6505","06505","650","VVAR","Comércio (Atacado e Varejo)","1946-07-12","1981-11-24","Grupo Casas Bahia S.A.","Privado",12,""
"33.228.024/0001-51",2023-01-01,"11070","11070","1107","WLMM","Emp. Adm. Part. - Máqs., Equip., Veíc. e Peças","1946-10-25","1971-01-07","WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.","Privado",12,"Comércio a varejo e por atacado de caminhões, automóveis, camionetas, utilitários novos e usados, máquinas, equipamentos, instalação e manutenção. Holding de instituições não-financeira."
"33.102.476/0001-92",2023-01-01,"8893","08893","889","MOAR","Emp. Adm. Part. - Sem Setor Principal","1947-12-22","1980-05-07","MONTEIRO ARANHA S.A.","Privado Holding",12,"HOLDING - PARTICIPAÇÃO SOCIETÁRIA"
"50.564.053/0001-03",2023-01-01,"12190","12190","1219","BOBR","Farmacêutico e Higiene","1948-01-14","1984-09-26","BOMBRIL S.A.","Privado",12,"1080"
"33.541.368/0001-16",2023-01-01,"3328","03328","332",NA,"Energia Elétrica","1948-03-15","1969-12-19","CIA HIDRO ELÉTRICA DO SÃO FRANCISCO","Privado Holding",12,"Produção e Transmissão de Energia Elétrica"
"56.994.924/0001-05",2015-01-01,"1686","01686","168","PMET","Máquinas, Equipamentos, Veículos e Peças","1948-04-10","1982-02-11","PRÓ METALURGIA SA","Privado",12,"INDUSTRIALIZAÇÃO DE BICICLETAS, PEÇAS E ACESSÓRIOS"
"56.992.423/0001-90",2023-01-01,"1694","01694","169","BMKS","Brinquedos e Lazer","1948-04-26","1971-12-01","BICICLETAS MONARK S.A.","Privado",12,"Fabricação e Comercialização de Bicicletas"
"46.014.635/0001-49",2018-01-01,"4774","04774","477","LIXC","Construção Civil, Mat. Constr. e Decoração","1948-05-18","2018-01-30","CONSTRUTORA LIX DA CUNHA S.A.","Privado",12,"CONSTRUÇÃO CIVIL, TERRAPLANAGEM E PAVIMENTAÇÃO"
"05.711.813/0001-03",2016-01-01,"80101","80101","8010",NA,"Emp. Adm. Part. - Petroquímicos e Borracha","1948-09-16","2009-04-03","SOLVAY INDUPA SAIC","Estrangeiro",12,""
"84.684.455/0001-63",2023-01-01,"26255","26255","2625",NA,"Construção Civil, Mat. Constr. e Decoração","1949-01-04","2021-10-01","Tigre S.A. Participações","Privado",12,"Industrialização, comércio, importação e exportação de tubos e conexões de toda a espécie, acessórios sanitários e materiais para construção em geral"
"33.039.223/0001-11",2017-01-01,"22829","22829","2282",NA,"Construção Civil, Mat. Constr. e Decoração","1949-04-13","2012-06-13","CIMENTO TUPI S.A.","Privado",12,"A fabricação, o comércio e o transporte de cimento, cal e argamassa, seus subprodutos, e escória siderúrgica, no mercado interno ou externo serviços de concretagem participações em outras sociedades"
"88.611.835/0001-29",2023-01-01,"8451","08451","845","POMO","Máquinas, Equipamentos, Veículos e Peças","1949-08-06","1977-07-20","MARCOPOLO S.A.","Privado",12,"Indústria e comércio de ônibus e carrocerias para ônibus, suas partes, peças e componentes"
"02.183.757/0001-93",2011-01-01,"19143","19143","1914",NA,"Comunicação e Informática","1950-01-01","2001-11-06","EDITORA ABRIL S/A","Privado",12,"Publicação de revistas e periódicos"
"60.476.884/0001-87",2023-01-01,"8575","08575","857","LEVE","Máquinas, Equipamentos, Veículos e Peças","1950-03-03","1977-07-20","MAHLE-METAL LEVE S.A.","Privado",12,"Industria e comércio de peças e componentes para motores a combustão"
"23.041.875/0001-37",2023-01-01,"80225","80225","8022",NA,"Comércio (Atacado e Varejo)","1950-03-24","2023-04-03","Almacenes Éxito S.A.","",12,"Comércio Varejista."
"92.012.467/0001-70",2023-01-01,"4537","04537","453","CGRA","Comércio (Atacado e Varejo)","1950-05-24","1979-01-31","GRAZZIOTIN S.A.","Privado",12,"Comércio Varejista de Vesturio e Bazar."
"33.035.536/0001-00",2023-01-01,"7811","07811","781","JFEN","Construção Civil, Mat. Constr. e Decoração","1950-10-10","2021-05-19","JOAO FORTES ENGENHARIA S.A. - Em Recuperação Judicial","Privado",12,"Incorporação e construção de imóveis execução por administração de obras de construção civil."
"82.640.632/0001-84",2018-01-01,"8117","08117","811","LHER","Têxtil e Vestuário","1950-12-29","1977-07-20","LOJAS HERING S.A.","Privado",12,"Comércio Varejista de Artigos Têxteis"
"07.206.816/0001-15",2023-01-01,"20338","20338","2033","MDIA","Alimentos","1951-05-21","2006-10-11","M.DIAS BRANCO S.A. IND COM DE ALIMENTOS","Privado",12,"Industrialização e comércio de biscoitos bolachas massas bolos mistura para bolos snacks salgadinhos torradas farinha de trigo e outros produtos derivados do trigo refrescos em pó etc."
